"vessel","trip","haul","sampledby","length","count"
"KW172","DD0717",2,"WMR",25,6
"KW172","DD0717",2,"WMR",25.5,7
"KW172","DD0717",2,"WMR",26,22
"KW172","DD0717",2,"WMR",26.5,19
"KW172","DD0717",2,"WMR",27,18
"KW172","DD0717",2,"WMR",27.5,18
"KW172","DD0717",2,"WMR",28,18
"KW172","DD0717",2,"WMR",28.5,1
"KW172","DD0717",2,"WMR",29,15
"KW172","DD0717",2,"WMR",29.5,2
"KW172","DD0717",2,"WMR",30,24
"KW172","DD0717",2,"WMR",30.5,5
"KW172","DD0717",3,"WMR",26,24
"KW172","DD0717",3,"WMR",26.5,12
"KW172","DD0717",3,"WMR",27,12
"KW172","DD0717",3,"WMR",27.5,29
"KW172","DD0717",3,"WMR",28,23
"KW172","DD0717",3,"WMR",28.5,2
"KW172","DD0717",3,"WMR",29,7
"KW172","DD0717",3,"WMR",29.5,16
"KW172","DD0717",3,"WMR",30,7
"KW172","DD0717",3,"WMR",30.5,12
"KW172","DD0717",3,"WMR",31,5
"KW172","DD0717",4,"WMR",24.5,5
"KW172","DD0717",4,"WMR",25,15
"KW172","DD0717",4,"WMR",25.5,2
"KW172","DD0717",4,"WMR",26,29
"KW172","DD0717",4,"WMR",26.5,18
"KW172","DD0717",4,"WMR",27,13
"KW172","DD0717",4,"WMR",27.5,35
"KW172","DD0717",4,"WMR",28,6
"KW172","DD0717",4,"WMR",28.5,11
"KW172","DD0717",4,"WMR",29,7
"KW172","DD0717",4,"WMR",31,2
"KW172","DD0717",4,"WMR",31.5,4
"KW172","DD0717",5,"WMR",24,6
"KW172","DD0717",5,"WMR",24.5,7
"KW172","DD0717",5,"WMR",25,1
"KW172","DD0717",5,"WMR",25.5,1
"KW172","DD0717",5,"WMR",26,16
"KW172","DD0717",5,"WMR",26.5,20
"KW172","DD0717",5,"WMR",27,44
"KW172","DD0717",5,"WMR",27.5,25
"KW172","DD0717",5,"WMR",28,15
"KW172","DD0717",5,"WMR",28.5,4
"KW172","DD0717",5,"WMR",29,5
"KW172","DD0717",5,"WMR",29.5,6
"KW172","DD0717",5,"WMR",30,5
"KW172","DD0717",5,"WMR",30.5,7
